kod_kreskowy,nazwa_produktu,opis,cena
4027521515482,"Ostrza wymienne do gilotyny A4, 2 szt","20,20",E-15805
4027521516076,Pistolet do kleju Westcott,"37,90",E-16758
4027521516083,Klej Westcott 7 mm transparentny 30 szt,"12,90",E-16837
4027521205475,No¿yczki terapeutyczne z podwójnym uchwytem,"5,80",E-20547
4027521301009,"No¿yczki wielofunkcyjne, czarne","11,80",E-30100
4027521304208,No¿yczki tytanowe Mini,"21,00",E-30420
4027521304406,"No¿yczki tytanowe, Ma³e","22,00",E-30440
4027521304444,No¿yczki tytanowe z wygiêtym ostrzem,"22,00",E-30444
4027521304505,No¿yczki tytanowe 13 cm,"34,50",E-30450
4027521304703,No¿yczki tytanowe 18 cm,"37,20",E-30470
4027521304819,No¿yczki tytanowe 21 cm,"39,30",E-30481
4027521304864,No¿yczki tytanowe wielofunkcyjne,"38,90",E-30486
4027521311602,"No¿yczki biurowe 15 cm, czarne","5,50",E-31160
4027521311701,"No¿yczki biurowe 18 cm, czarne","5,80",E-31170
4027521311817,"No¿yczki biurowe 21 cm, czarne","7,10",E-31181
4027521427020,"No¿yczki ozdobne maxi, Z¹bki nieregularne","6,03",E-42702
4027521427051,"No¿yczki ozdobne maxi, Falbanka szeroka","6,03",E-42705
4027521514331,Skalpel metalowy z 6 ostrzami,"25,10",E-73000-SET
4027521001596,Skalpel metalowy,"11,10",E-84010
4027521840119,Wymienne ostrza 10szt/kpl,"10,80",E-84011
5902487908389,Obrêcz do obrabiania 50 cm,"17,00",FI50
5902487908396,Obrêcz do obrabiania 60 cm,"18,00",FI60
5902487901366,Sizal opakowanie 10 g,"2,15",114-OP
,Sizal du¿e opak.,"2,50",87-045
,Matryca do t³oczenia,"220,00",03
7612450251913,Artoz C7-519 Bordowy,"4,75",10713418-519
7612450245691,Artoz B7-215 Popielaty,"5,98",10719418-215
7612450245721,Artoz B7-243 Miodowy,"5,98",10719418-243
7612450245738,Artoz B7-247 S³oneczny,"5,98",10719418-247
,Artoz B7-305 Wiosenna Zieleñ,"5,98",10719418-305
7612450245776,Artoz B7-331 J. Zieleñ,"5,98",10719418-331
7612450245837,Artoz B7-391 B³êkit,"5,98",10719418-391
7612450245868,Artoz B7-423 Fio³kowy,"5,98",10719418-423
7612450245660,Artoz B7-425 C. Fiolet,"5,98",10719418-425
